AE1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
G***:3
L1:1
M1:1
M2:1
M3:1
M4:1
P1:1
P10:1
P11:1
P12:1
P13:1
P14:1
P15:1
P16:1
P17:1
P2:1
P3:1
P4:1
P5:1
P6:1
P7:1
P8:1
P9:1
Q1:1
Q2:1
Q3:1
Q4:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
U1:1
U2:1
U3:1
U4:1
U5:1
Y1:1
